"iata_code"	"icao_code"	"name_rus"	"city_rus"	"country_rus"	"latitude"	"longitude"	"tags"
"FES"	"KFES"	"Сан Фернандо"	"Сан Фернандо"	"Сальвадор"	"38.194943"	"-90.385426"	
"SFE"	"RPUS"	"Сан Фернандо"	"Сан Фернандо"	"Филиппины"	"16.595589"	"120.303219"	
"SJP"	"SBSR"	"Сан Хосе Ду Рио Прето"	"Сан Хосе Ду Рио Прето"	"Бразилия"	"-20.816567"	"-49.406511"	
"UAQ"	"SANU"	"Сан Хуан"	"Сан Хуан"	"Аргентина"	"-31.571472"	"-68.418194"	
"SJM"	"MDSJ"	"Сан Хуан"	"Сан Хуан"	"Доминиканская Республика"	"18.817"	"-71.283"	
"SJA"	"SPJN"	"Сан Хуан"	"Сан Хуан"	"Перу"	"-15.352500"	"-75.137222"	
"SIG"	"TJIG"		"Сан Хуан"	"Пуэрто Рико"	"18.456791"	"-66.098462"	
"SJU"	"TJSJ"		"Сан Хуан"	"Пуэрто Рико"	"18.439295"	"-66.002004"	
"WSJ"	"KWSJ"		"Сан Хуан"	"США"	"57.730374"	"-153.320597"	
"NBL"	"MPWN"	"Сан-Блас"	"Сан-Блас"	"Панама"	"9.250273"	"-78.118332"	
"SRJ"	"SLSB"		"Сан-Борха"	"Боливия"	"-14.857778"	"-66.737222"	
"SJL"	"SBUA"		"Сан-Габриэл"	"Бразилия"	"-0.148419"	"-66.985589"	
"SQS"	"KCEW"		"Сан-Игнасио"	"Колумбия"	"5.55"	"-75.366666666667"	
"SGM"		"Сан-Игнасио"	"Сан-Игнасио"	"Мексика"	"27.296633"	"-112.938481"	
"SNQ"		"Сан-Кинтин"	"Сан-Кинтин"	"Мексика"	"30.528611"	"-115.946111"	
"EMB"	"KEMB"		"Сан-Кристобаль"	"Аргентина"	"37.795278"	"-122.393611"	
"SCI"	"SVPM"	"Сан-Кристобаль"	"Сан-Кристобаль"	"Венесуэла"	"7.801317"	"-72.202847"	
"JCC"			"Сан-Кристобаль"	"США"	"37.8"	"-122.46666666"	
"SSO"	"SNLO"	"Сан-Лоуренсу"	"Сан-Лоуренсу"	"Бразилия"	"-22.090906"	"-45.044528"	
"LUQ"	"SAOU"	"Сан-Луис"	"Сан-Луис"	"Аргентина"	"-33.273192"	"-66.356421"	
"SLP"	"MMSP"	"Сан-Луис-Потоси"	"Сан-Луис-Потоси"	"Мексика"	"22.254303"	"-100.930806"	
"UAC"		"Сан-Луис-Рио-Колорадо"	"Сан-Луис-Рио-Колорадо"	"Мексика"	"32.445341"	"-114.797928"	
"SRS"	"SKSR"		"Сан-Маркос"	"Колумбия"	"8.661"	"-75.133"	
"SYL"	"KSYL"		"Сан-Мигель"	"Канада"	"35.814966"	"-120.743785"	
"NMG"		"Сан-Мигель"	"Сан-Мигель"	"Панама"	"8.450"	"-78.917"	
"SMT"		"Сан-Мун-Лейк"	"Сан-Мун-Лейк"	"Тайвань"	"23.883"	"120.933"	
"SPR"		"Сан-Педро"	"Сан-Педро"	"Белиз"	"17.913936"	"-87.971075"	
"SPQ"	"KSPQ"		"Сан-Педро"	"Кот д'Ивуар"	"33.749185"	"-118.274793"	
"SPY"	"DISP"	"Сан-Педро"	"Сан-Педро"	"Кот д'Ивуар"	"4.746717"	"-6.660817"	
"SJG"		"Сан-Педро-Жапуа"	"Сан-Педро-Жапуа"	"Колумбия"	"4.633"	"-73.300"	
"SRD"	"SLRA"	"Сан-Рамон"	"Сан-Рамон"	"Боливия"	"-13.283"	"-64.700"	
"AFA"	"SAMR"	"Сан-Рафаэль"	"Сан-Рафаэль"	"Аргентина"	"-34.588314"	"-68.403854"	
"JSG"	"ZUJZ"		"Сан-Рафаэль"	"Колумбия"	"8.45"	"-73.916666666667"	
"SRF"	"KMDQ"		"Сан-Рафаэль"	"США"	"38.01527777"	"-122.52222222"	
"SUO"	"KSUO"	"Сан-Ривер, шт. Орегон"	"Сан-Ривер, шт. Орегон"	"США"	"43.876333"	"-121.453056"	
"ZSA"	"MYSM"	"Сан-Сальвадор"	"Сан-Сальвадор"	"Багамские острова"	"24.063128"	"-74.523650"	
"SAL"	"MSLP"		"Сан-Сальвадор"	"Сальвадор"	"13.440947"	"-89.055728"	
"EAS"	"LESO"		"Сан-Себастьян"	"Испания"	"43.356519"	"-1.790611"	
"SOM"	"SVST"		"Сан-Томе"	"Венесуэла"	"8.945147"	"-64.151083"	
"SFX"		"Сан-Феликс"	"Сан-Феликс"	"Венесуэла"	"8.350"	"-62.633"	
"SNF"	"SVSP"	"Сан-Фелипе"	"Сан-Фелипе"	"Венесуэла"	"10.278728"	"-68.755211"	
"SFH"	"MMSF"	"Сан-Фелипе"	"Сан-Фелипе"	"Колумбия"	"30.930222"	"-114.808639"	
"SSD"	"SCSF"	"Сан-Фелипе"	"Сан-Фелипе"	"Колумбия"	"-32.744999"	"-70.704167"	
"SJV"	"SLJV"	"Сан-Хавьер"	"Сан-Хавьер"	"Боливия"	"-16.264444"	"-62.470000"	
"SJB"	"SLJO"	"Сан-Хоакин"	"Сан-Хоакин"	"Боливия"	"-13.017"	"-64.867"	
"SJS"	"SLJE"	"Сан Хосе"	"Сан-Хосе"	"Боливия"	"-17.832222"	"-60.743056"	
"RHV"	"KRHV"		"Сан-Хосе"	"Куба"	"37.332861"	"-121.819806"	
"SJC"	"KSJC"		"Сан-Хосе"	"США"	"37.362667"	"-121.929111"	
"SJI"	"RPUH"		"Сан-Хосе"	"Филиппины"	"12.361517"	"121.046639"	
"APE"	"SPAO"	"Сан-Хуан-Апосенто"	"Сан-Хуан-Апосенто"	"Перу"	"-15.350"	"-75.167"	
"ULA"	"SAWJ"	"Сан-Хулиан"	"Сан-Хулиан"	"Аргентина"	"-49.306775"	"-67.802589"	
"SNJ"	"MUSJ"	"Сан-Хулиан"	"Сан-Хулиан"	"Куба"	"22.095294"	"-84.152011"	
"SET"		"Сан-Эстебан"	"Сан-Эстебан"	"Гондурас"	"15.217"	"-85.717"	
"SQN"	"WAPN"	"Санана"	"Санана"	"Индонезия"	"-2.100278"	"125.965833"	
"SDG"	"OICS"	"Санандадж"	"Санандадж"	"Иран"	"35.245856"	"47.009247"	
"SGS"	"RPMN"	"Санга-Санга"	"Санга-Санга"	"Филиппины"	"5.046994"	"119.743033"	
"SGK"		"Сангапи"	"Сангапи"	"Папуа - Новая Гвинея"	"-5.083"	"144.767"	
"SGQ"	"WRLA"	"Санггата"	"Санггата"	"Индонезия"	"0.500"	"117.333"	
"SAE"		"Сангир"	"Сангир"	"Индонезия"	"2.317"	"125.417"	
"NSP"	"RPLS"		"Сангли-Пойнт"	"Филиппины"	"14.495364"	"120.904075"	
"SDK"	"WBKS"	"Сандакан"	"Сандакан"	"Малайзия"	"5.900897"	"118.059486"	
"SDW"		"Сандвип"	"Сандвип"	"Бангладеш"	"22.667"	"91.167"	
"SSJ"	"ENST"		"Санднессьоен"	"Норвегия"	"65.956828"	"12.468944"	
"SDL"	"ESNN"		"Сандсвалль"	"Швеция"	"62.528125"	"17.443928"	
"SKY"	"KSKY"		"Сандуски"	"США"	"41.433361"	"-82.652333"	
"LED"	"ULLI"	"Пулково"	"Санкт-Петербург"	"Россия"	"59.800292"	"30.262503"	"Питер"
"RVH"	"ULSS"	"Ржевка"	"Санкт-Петербург"	"Россия"	"59.980000"	"30.585556"	"Питер"
"USS"	"MUSS"	"Санкти-Спиритус"	"Санкти-Спиритус"	"Куба"	"21.969969"	"-79.442692"	
"SMR"	"SKSM"		"Санта Марта"	"Колумбия"	"11.119722"	"-74.230833"	
"SMO"	"KSMO"	"Санта Моника"	"Санта Моника"	"США"	"34.015833"	"-118.451306"	
"SFN"	"SAAV"	"Санта Фе"	"Санта Фе"	"Аргентина"	"-31.711666"	"-60.811668"	
"SFW"		"Санта Фе"	"Санта Фе"	"Панама"	"8.517"	"-81.067"	
"SAF"	"KSAF"	"Санта Фе"	"Санта Фе"	"США"	"35.617109"	"-106.089423"	
"SBL"	"SLSA"		"Санта-Ана"	"Боливия"	"-13.762208"	"-65.435158"	
"DNT"			"Санта-Ана"	"Колумбия"	"1.0833333333333"	"-77.55"	
"JOC"			"Санта-Ана"	"Колумбия"	"1.0833333333333"	"-77.55"	
"SQB"		"Санта-Ана"	"Санта-Ана"	"Колумбия"	"4.750"	"-75.950"	
"NNB"	"AGGT"	"Санта-Ана"	"Санта-Ана"	"Соломоновы острова"	"-10.850000"	"162.462222"	
"SZN"	"KSZN"		"Санта-Барбара-Ба"	"Колумбия"	"34.060558"	"-119.915130"	
"SBA"	"KSBA"		"Санта-Барбара-Ба"	"США"	"34.426194"	"-119.841500"	
"NTC"		"Санта-Каролина"	"Санта-Каролина"	"Судан"	"21.618333333333"	"35.341666666667"	
"SCA"		"Санта-Каталина"	"Санта-Каталина"	"Колумбия"	"8.567"	"-76.317"	
"SKV"	"HESC"		"Санта-Катарина"	"Египет"	"28.685278"	"34.062500"	
"SNU"	"MUSC"		"Санта-Клара"	"Куба"	"22.492192"	"-79.943611"	
"RZA"	"SAWU"	"Санта-Круз"	"Санта-Круз-Айленд"	"Аргентина"	"-50.016550"	"-68.579197"	
"STU"		"Санта-Круз"	"Санта-Круз-Айленд"	"Белиз"	"18.267"	"-88.467"	
